date,TG,TN,TX
20150101,39,28,49
20150102,72,44,102
20150103,54,45,65
20150104,43,5,76
20150105,37,11,55
20150106,39,25,64
20150107,43,7,68
20150108,64,39,83
20150109,84,51,110
20150110,88,52,115
20150111,62,41,72
20150112,78,51,93
20150113,68,26,99
20150114,36,14,51
20150115,69,42,85
20150116,52,28,69
20150117,25,-5,56
20150118,22,11,31
20150119,8,-14,39
20150120,7,-5,17
20150121,-4,-24,8
20150122,-10,-29,18
20150123,-17,-43,16
20150124,22,-15,47
20150125,32,12,52
20150126,52,35,73
20150127,49,20,69
20150128,47,29,57
20150129,21,1,41
20150130,9,-29,46
20150131,15,-12,50
20150201,14,-10,44
20150202,21,-8,51
20150203,13,-21,53
20150204,3,-37,33
20150205,-11,-47,13
20150206,-19,-55,13
20150207,31,-50,56
20150208,51,38,66
20150209,60,52,71
20150210,57,48,69
20150211,41,31,51
20150212,27,18,34
20150213,45,14,79
20150214,60,38,97
20150215,13,-31,48
20150216,11,-40,52
20150217,27,-9,76
20150218,30,-3,77
20150219,31,7,65
20150220,43,27,63
20150221,32,11,57
20150222,30,-3,67
20150223,51,13,82
20150224,50,30,76
20150225,37,15,57
20150226,53,6,78
20150227,41,3,71
20150228,47,1,76
20150301,70,53,88
20150302,49,7,73
20150303,32,6,55
20150304,49,26,73
20150305,54,16,82
20150306,64,39,91
20150307,74,43,110
20150308,77,47,120
20150309,71,12,106
20150310,64,7,95
20150311,42,-17,102
20150312,64,5,116
20150313,34,7,67
20150314,43,9,56
20150315,54,29,87
20150316,74,37,127
20150317,76,3,147
20150318,57,-3,111
20150319,64,25,102
20150320,48,40,63
20150321,59,36,85
20150322,39,12,74
20150323,39,-10,79
20150324,61,23,100
20150325,53,45,63
20150326,50,16,73
20150327,60,18,77
20150328,65,11,95
20150329,80,58,100
20150330,64,43,83
20150331,73,43,100
20150401,56,22,79
20150402,52,6,79
20150403,53,11,97
20150404,42,-6,82
20150405,53,-10,92
20150406,70,15,116
20150407,57,10,86
20150408,77,49,113
20150409,90,38,149
20150410,105,31,165
20150411,91,51,135
20150412,90,46,132
20150413,75,45,109
20150414,103,58,139
20150415,106,63,163
20150416,74,28,116
20150417,63,21,104
20150418,72,26,114
20150419,80,30,124
20150420,82,24,140
20150421,70,18,118
20150422,82,52,106
20150423,77,35,117
20150424,99,4,159
20150425,109,85,134
20150426,71,20,100
20150427,53,5,99
20150428,54,-8,107
20150429,79,38,133
20150430,82,42,124
20150501,72,26,107
20150502,70,13,116
20150503,109,45,161
20150504,133,104,168
20150505,147,87,218
20150506,115,89,150
20150507,101,64,133
20150508,125,76,168
20150509,120,89,146
20150510,126,81,168
20150511,158,110,231
20150512,127,92,164
20150513,112,79,145
20150514,86,29,111
20150515,76,17,112
20150516,97,41,138
20150517,109,76,142
20150518,105,83,127
20150519,98,58,135
20150520,98,60,136
20150521,117,88,159
20150522,142,102,181
20150523,107,84,129
20150524,119,69,166
20150525,107,80,134
20150526,101,84,130
20150527,122,82,165
20150528,117,66,147
20150529,105,73,143
20150530,98,54,134
20150531,114,80,147
20150601,118,64,153
20150602,138,113,163
20150603,126,68,158
20150604,134,44,197
20150605,194,114,294
20150606,144,110,169
20150607,122,71,158
20150608,109,56,142
20150609,107,75,132
20150610,132,91,171
20150611,140,79,197
20150612,183,111,247
20150613,160,128,201
20150614,125,72,149
20150615,107,56,150
20150616,112,62,158
20150617,146,75,197
20150618,131,116,156
20150619,122,102,159
20150620,126,87,154
20150621,133,103,188
20150622,119,83,163
20150623,117,82,143
20150624,141,111,194
20150625,169,120,221
20150626,180,128,219
20150627,161,109,196
20150628,158,101,201
20150629,166,113,213
20150630,184,98,241
20150701,240,140,304
20150702,247,189,340
20150703,215,168,254
20150704,230,176,307
20150705,192,156,242
20150706,174,132,205
20150707,194,134,249
20150708,156,125,187
20150709,132,90,164
20150710,161,90,203
20150711,191,143,262
20150712,170,145,195
20150713,171,146,192
20150714,165,128,182
20150715,163,113,196
20150716,173,141,204
20150717,193,141,236
20150718,169,129,198
20150719,146,105,187
20150720,174,96,227
20150721,189,142,225
20150722,179,143,219
20150723,158,103,194
20150724,171,102,208
20150725,158,126,205
20150726,149,110,200
20150727,156,132,175
20150728,155,134,182
20150729,135,109,158
20150730,138,113,167
20150731,137,101,178
20150801,152,99,199
20150802,178,120,228
20150803,206,150,290
20150804,169,135,196
20150805,184,127,232
20150806,199,142,274
20150807,183,112,239
20150808,160,88,193
20150809,175,87,239
20150810,195,161,237
20150811,185,149,224
20150812,170,134,204
20150813,201,135,252
20150814,206,174,252
20150815,186,164,217
20150816,154,135,173
20150817,167,142,183
20150818,161,135,181
20150819,165,129,213
20150820,191,137,239
20150821,201,154,250
20150822,208,166,258
20150823,203,144,250
20150824,176,143,225
20150825,166,137,190
20150826,188,153,227
20150827,159,132,178
20150828,158,123,199
20150829,163,127,208
20150830,179,143,220
20150831,187,164,233
20150901,156,133,178
20150902,141,102,176
20150903,126,104,157
20150904,143,121,173
20150905,134,108,163
20150906,131,111,162
20150907,144,128,169
20150908,136,104,166
20150909,133,70,179
20150910,135,88,183
20150911,140,99,187
20150912,150,107,189
20150913,167,143,190
20150914,150,110,188
20150915,124,96,156
20150916,144,109,177
20150917,143,111,160
20150918,141,105,183
20150919,130,85,174
20150920,139,103,175
20150921,144,122,173
20150922,125,73,162
20150923,121,52,181
20150924,128,98,149
20150925,118,69,170
20150926,106,61,164
20150927,105,47,165
20150928,109,49,163
20150929,110,51,169
20150930,117,70,173
20151001,105,46,166
20151002,105,26,172
20151003,116,75,169
20151004,118,71,169
20151005,131,59,169
20151006,141,119,159
20151007,154,139,173
20151008,137,120,160
20151009,124,102,150
20151010,96,49,138
20151011,59,25,104
20151012,46,13,86
20151013,60,21,97
20151014,66,48,83
20151015,65,6,96
20151016,83,66,101
20151017,89,65,104
20151018,102,61,132
20151019,103,51,141
20151020,92,57,127
20151021,99,72,122
20151022,117,70,144
20151023,102,61,141
20151024,112,99,125
20151025,94,37,132
20151026,99,60,151
20151027,83,65,102
20151028,82,61,97
20151029,105,87,124
20151030,104,78,130
20151031,90,59,127
20151101,76,41,104
20151102,72,58,91
20151103,91,41,144
20151104,115,81,139
20151105,128,114,139
20151106,142,135,156
20151107,148,116,171
20151108,121,74,153
20151109,124,99,151
20151110,146,140,155
20151111,134,126,141
20151112,123,106,145
20151113,107,51,131
20151114,91,60,121
20151115,135,120,144
20151116,117,91,136
20151117,119,94,148
20151118,118,98,130
20151119,107,80,124
20151120,75,44,101
20151121,42,18,72
20151122,39,11,65
20151123,37,-11,65
20151124,49,38,60
20151125,61,45,83
20151126,50,22,94
20151127,60,44,68
20151128,66,53,91
20151129,93,66,115
20151130,77,53,113
20151201,82,40,117
20151202,99,86,113
20151203,90,82,105
20151204,87,77,97
20151205,83,74,97
20151206,102,78,121
20151207,100,88,110
20151208,94,75,118
20151209,76,64,91
20151210,66,57,75
20151211,75,62,88
20151212,76,49,111
20151213,60,24,96
20151214,66,51,82
20151215,59,23,85
20151216,98,66,118
20151217,118,112,126
20151218,107,96,118
20151219,115,94,128
20151220,110,103,120
20151221,94,76,115
20151222,114,80,132
20151223,93,64,116
20151224,88,68,117
20151225,81,34,129
20151226,123,107,133
20151227,100,86,117
20151228,100,84,109
20151229,75,59,86
20151230,70,55,88
20151231,69,50,96
